id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre
4sPmO7WMQUAf45kwMOtONw,Hello,73,Adele,0.481,0.451,0.0347,0.336,0,0.0872,0.289,pop
2RiBogNRfulkNf7fVbPOrJ,Saturday Sun,75,Vance Joy,0.637,0.864,0.0468,0.484,0,0.222,0.706,modern rock
7vS3Y0IKjde7Xg85LWIEdP,Problem,76,Ariana Grande,0.66,0.805,0.153,0.0192,0.00000883,0.159,0.625,dance pop
4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),42,Luis Fonsi,0.66,0.786,0.17,0.209,0,0.112,0.846,dance pop
466s1BacUmiRdR3ISvNjyx,Bang Bang,70,Jessie J,0.703,0.747,0.0895,0.283,0,0.396,0.7,dance pop
32OlwWuMpZ6b0aN2RZOeMS,Uptown Funk,82,Mark Ronson,0.856,0.609,0.0824,0.00801,0.0000815,0.0344,0.928,dance pop
5jrdCoLpJSvHHorevXBATy,Dark Horse,78,Katy Perry,0.645,0.585,0.0513,0.00314,0,0.165,0.353,dance pop
4Ce37cRWvM1vIGGynKcs22,Starving,81,Hailee Steinfeld,0.729,0.615,0.0647,0.378,0,0.105,0.508,dance pop
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),98,benny blanco,0.56,0.68,0.321,0.555,0,0.116,0.319,pop
0sooJd5WbNnnz5k6yO7FIQ,Pompeii,38,Bastille,0.682,0.714,0.0399,0.074,0,0.278,0.581,metropopolis
41Fflg7qHiVOD6dEPvsCzO,Worth It,77,Fifth Harmony,0.884,0.765,0.0882,0.063,0.00000704,0.118,0.594,dance pop
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,80,WALK THE MOON,0.578,0.866,0.0619,0.00701,0,0.257,0.619,indie pop
4h8VwCb1MTGoLKueQ1WgbD,Wake Me Up,85,Avicii,0.518,0.784,0.0524,0.00346,0.00187,0.171,0.588,big room
5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,77,American Authors,0.673,0.902,0.0347,0.0629,0.000174,0.0552,0.521,brooklyn indie
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,97,Drake,0.835,0.626,0.125,0.0589,0.00006,0.396,0.35,canadian hip hop
0Y1MWB026LYxGvhq4EcMiC,Boom Clap,61,Charli XCX,0.659,0.911,0.0786,0.154,0.000304,0.191,0.576,candy pop
0tKcYR2II1VCQWT79i5NrW,Thunder,33,Imagine Dragons,0.6,0.81,0.0479,0.00683,0.21,0.155,0.298,modern rock
4tYokojnBEp5pBWO7wTRPA,Let It Go - James Bay Spotify Session 2015,72,James Bay,0.5,0.213,0.0462,0.879,0.00000737,0.721,0.37,neo mellow
0CcQNd8CINkwQfe1RDtGV6,Believer,29,Imagine Dragons,0.779,0.787,0.108,0.0524,0,0.14,0.708,modern rock
0n4bITAu0Y0nigrz3MFJMb,Blurred Lines,76,Robin Thicke,0.862,0.608,0.0402,0.00373,0.00000614,0.0856,0.836,dance pop
3JvrhDOgAt6p7K8mDyZwRd,Riptide,79,Vance Joy,0.484,0.731,0.0379,0.431,0,0.151,0.51,modern rock
794F99D5BQHS5ZGRXAs7I5,Anaconda,66,Nicki Minaj,0.964,0.605,0.179,0.0668,0.00000778,0.214,0.646,dance pop
2cOUlop2ZakjOKe4WinesN,Slow Hands,80,Niall Horan,0.726,0.431,0.0554,0.0139,0,0.054,0.86,dance pop
2stPxcgjdSImK7Gizl8ZUN,The Man,62,Aloe Blacc,0.308,0.769,0.065,0.0331,0,0.214,0.488,r&b
0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara),41,Zedd,0.679,0.634,0.0654,0.232,0,0.115,0.498,complextro
2JZKXgq5zsokN01KWyiY6n,Mirrors,66,Justin Timberlake,0.574,0.512,0.0503,0.234,0,0.0946,0.512,dance pop
7q0aQpiLv5tIsupcgQ3Ny4,Budapest,69,George Ezra,0.717,0.455,0.0276,0.0846,0,0.11,0.389,neo-singer-songwriter
5xTtaWoae3wi06K5WfVUUH,Shake It Off,72,Taylor Swift,0.648,0.785,0.165,0.0561,0,0.148,0.943,dance pop
1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),73,The Fray,0.592,0.729,0.0448,0.022,0,0.0653,0.709,neo mellow
2JHBMVs8E7bJJBLkXpKgHn,I Will Wait,70,Mumford & Sons,0.481,0.766,0.0334,0.0103,0.0067,0.302,0.436,folk-pop
7wZUrN8oemZfsEd1CGkbXE,Bleeding Love,80,Leona Lewis,0.638,0.656,0.0357,0.188,0,0.146,0.225,dance pop
0QZ5yyl6B6utIWkxeBDxQN,The Night We Met,78,Lord Huron,0.441,0.379,0.0449,0.968,0.262,0.639,0.105,folk-pop
2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,78,Miley Cyrus,0.613,0.622,0.0334,0.00882,0,0.37,0.484,dance pop
7nnWIPM5hwE3DaUBkvOIpy,Drive,75,Incubus,0.645,0.792,0.036,0.0562,0.0121,0.119,0.666,alternative metal
1V6gIisPpYqgFeWbMLI0bA,Heart Attack,74,Demi Lovato,0.504,0.785,0.104,0.0738,0,0.239,0.502,dance pop
5imMBAW7spQjapwJeZ0z3u,Underneath It All - Acoustic Live - German Radio,56,No Doubt,0.665,0.253,0.0505,0.838,0,0.168,0.477,alternative rock
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,87,Lauv,0.752,0.505,0.253,0.535,0.00000255,0.104,0.419,dance pop
36ONiya0OANYknz0GgJmwB,Don’t Matter To Me,64,Drake,0.825,0.317,0.0583,0.497,0.0128,0.11,0.136,canadian hip hop
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,80,Harry Styles,0.516,0.595,0.0313,0.0275,0,0.109,0.222,dance pop
4pLwZjInHj3SimIyN9SnOz,Side To Side,40,Ariana Grande,0.648,0.738,0.247,0.0408,0,0.292,0.603,dance pop
5aAx2yezTd8zXrkmtKl66Z,Starboy,41,The Weeknd,0.681,0.594,0.282,0.165,0.00000349,0.134,0.535,canadian pop
5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,85,Logic,0.62,0.574,0.0479,0.57,0,0.19,0.352,conscious hip hop
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,85,Bruno Mars,0.853,0.56,0.0406,0.013,0,0.0944,0.86,pop
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,83,Ed Sheeran,0.461,0.834,0.0989,0.0232,0.0000114,0.14,0.471,pop
2jdAk8ATWIL3dwT47XpRfu,Slow Dancing in a Burning Room,77,John Mayer,0.668,0.361,0.0273,0.573,0.00506,0.0805,0.288,neo mellow
