id,name,popularity,artist,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,genre,
51l8jiqsGYCiKUJBLXJvA9,Stay With You,57,John Legend,0.6930,0.343,0.0629,0.57,0.0000053,0.0973,0.198,neo soul,
7Clj1VaR0Vww6bUuM3nBk1,World on Fire,57,Stick Figure,0.8660,0.518,0.0457,0.303,0.0512,0.104,0.644,jawaiian,
0qdnPX9umHlQBQuv2sYZlo,Take It Or Leave It,57,Sublime With Rome,0.6770,0.716,0.272,0.0367,0,0.148,0.828,reggae rock,
3r7gP3kGBkldTrOO6ebMGy,Bullet and a Target,57,Citizen Cope,0.7320,0.835,0.0819,0.335,0.00000243,0.0354,0.892,neo mellow,
4Hrw5VbQ9xDPdHdLCqBsSA,Love I,57,The Green,0.8560,0.47,0.084,0.344,0,0.124,0.929,jawaiian,
7cRTzS9N5Mn25ZZkzmp6Uy,One Love,57,Bob Marley & The Wailers,0.7150,0.543,0.335,0.0349,0,0.0432,0.926,reggae,
3ESMv5bi8bCx9qeYXAITFD,The American Nightmare,57,Ice Nine Kills,0.5160,0.974,0.105,0.0000751,0.000866,0.405,0.401,melodic metalcore,
6oojUe4BZXxRUctIRSgO8t,If I'm Lyin  I'm Flyin,57,Kodak Black,0.7280,0.617,0.301,0.106,0.0000177,0.163,0.272,hip hop,
744vGvtENL1CfGY7ZjaYhc,Rosa Parks - Radio Version,57,OutKast,0.7820,0.766,0.224,0.119,0.000746,0.315,0.205,dirty south rap,
1vZKP9XURuqMp1SpXGnoyb,Santa Baby,57,Eartha Kitt,0.7040,0.103,0.0609,0.896,0,0.192,0.469,adult standards,
299lFlaAsNQdgbIZNPmIA0,Christmas Time Is Here - Vocal,57,Vince Guaraldi Trio,0.3880,0.145,0.0318,0.978,0.00000686,0.0997,0.0911,adult standards,
25leEEaz1gIpp7o21Fqyjo,Here Comes Santa Claus (Right Down Santa Claus Lane),57,Gene Autry,0.8340,0.372,0.0358,0.799,0,0.275,0.976,adult standards,
4MrfQL4TYQXJBlZYpAHTuE,Baby  It's Cold Outside,57,Dean Martin,0.4690,0.196,0.0571,0.882,0,0.0513,0.537,adult standards,
3AY6H68WNMDzWw9JhPW4Jv,Fool's Gold - Recorded At RAK Studios  London,57,Niall Horan,0.5750,0.192,0.0341,0.938,0,0.107,0.615,dance pop,
0lngUitwRDbvZ5yVO76dVN,Come Pick Me Up,57,Ryan Adams,0.5940,0.262,0.0341,0.0702,0.00269,0.256,0.216,alternative country,
34xsvZ1A2Ou1oo1VyOwQG1,Loudest MF,58,Yellow Claw,0.6960,0.958,0.4,0.00403,0.371,0.0874,0.461,bass trap,
